habit_id,checked,date
Yoga,1,2021-10-18
Yoga,1,2021-10-27
Yoga,1,2021-11-01
Yoga,1,2021-11-09
Yoga,1,2021-11-21
Yoga,1,2021-11-27
Yoga,1,2021-11-30
Yoga,1,2021-12-06
Run,1,2021-10-19
Run,1,2021-10-26
Run,1,2021-11-01
Run,1,2021-11-14
Run,1,2021-11-18
Run,1,2021-11-28
Run,1,2021-11-30
Run,1,2021-12-10
Meditation,1,2021-10-19
Meditation,1,2021-10-20
Meditation,1,2021-10-21
Meditation,1,2021-10-22
Meditation,1,2021-10-23
Meditation,1,2021-10-25
Meditation,1,2021-10-29
Meditation,1,2021-10-30
Meditation,1,2021-11-03
Meditation,1,2021-11-04
Meditation,1,2021-11-05
Meditation,1,2021-11-06
Meditation,1,2021-11-09
Meditation,1,2021-11-10
Meditation,1,2021-11-11
Meditation,1,2021-11-12
Meditation,1,2021-11-13
Meditation,1,2021-11-14
Meditation,1,2021-11-15
Meditation,1,2021-11-16
Meditation,1,2021-11-18
Meditation,1,2021-11-19
Meditation,1,2021-11-22
Meditation,1,2021-11-23
Meditation,1,2021-11-24
Meditation,1,2021-11-25
Meditation,1,2021-11-26
Meditation,1,2021-11-28
Meditation,1,2021-11-30
Meditation,1,2021-12-01
Meditation,1,2021-12-03
Meditation,1,2021-12-04
Meditation,1,2021-12-05
Meditation,1,2021-12-08
Meditation,1,2021-12-11
Meditation,1,2021-12-12
Read Book,1,2021-10-18
Read Book,1,2021-10-28
Read Book,1,2021-11-05
Read Book,1,2021-11-20
Read Book,1,2021-11-28
Read Book,1,2021-11-29
Read Book,1,2021-12-06
Write Diary,1,2021-10-20
Write Diary,1,2021-10-22
Write Diary,1,2021-10-23
Write Diary,1,2021-10-24
Write Diary,1,2021-10-25
Write Diary,1,2021-10-26
Write Diary,1,2021-10-28
Write Diary,1,2021-10-29
Write Diary,1,2021-10-30
Write Diary,1,2021-10-31
Write Diary,1,2021-11-01
Write Diary,1,2021-11-02
Write Diary,1,2021-11-04
Write Diary,1,2021-11-07
Write Diary,1,2021-11-11
Write Diary,1,2021-11-13
Write Diary,1,2021-11-17
Write Diary,1,2021-11-18
Write Diary,1,2021-11-19
Write Diary,1,2021-11-20
Write Diary,1,2021-11-21
Write Diary,1,2021-11-22
Write Diary,1,2021-11-24
Write Diary,1,2021-11-27
Write Diary,1,2021-11-28
Write Diary,1,2021-11-29
Write Diary,1,2021-12-01
Write Diary,1,2021-12-02
Write Diary,1,2021-12-04
Write Diary,1,2021-12-06
Write Diary,1,2021-12-07
Write Diary,1,2021-12-09
Write Diary,1,2021-12-10
Write Diary,1,2021-12-11
Write Diary,1,2021-12-12
